"Code","Desc","Type","med_type"
"8660311000001101","Lormetazepam 1mg/5ml oral suspension","dmd","ANX"
"21305001000027108","Temazepam 10mg Tablet (Wyeth Pharmaceuticals)","dmd","ANX"
"8799011000001104","Zopiclone 3.75mg/5ml oral suspension","dmd","ANX"
"9480811000001109","Lorazepam 1mg tablets (Mylan)","dmd","ANX"
"2055001000027104","Ativan 1mg Tablet (Wyeth Pharmaceuticals)","dmd","ANX"
"3206911000001104","Zolpidem 5mg tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"21555001000027103","Noctamid 1mg Tablet (Schering Health Care Ltd)","dmd","ANX"
"3199611000001102","Stilnoct 10mg tablets (Sanofi)","dmd","ANX"
"321141005","Nitrazepam 5mg/5ml oral suspension","dmd","ANX"
"8624511000001105","Lorazepam 1mg/5ml oral suspension","dmd","ANX"
"15185001000027103","Lormetazepam 1mg Tablet (Wyeth Pharmaceuticals)","dmd","ANX"
"846011000001109","Sonata 5mg capsules (Meda Pharmaceuticals Ltd)","dmd","ANX"
"321190005","Zaleplon 5mg capsules","dmd","ANX"
"76625001000027100","Oxazepam 15mg Tablet (IVAX Pharmaceuticals UK Ltd)","dmd","ANX"
"3201011000001105","Zolpidem 10mg tablets (Teva UK Ltd)","dmd","ANX"
"13358711000001100","Trazodone 100mg/5ml oral solution","dmd","ANX"
"120465001000027104","Zolpidem 10mg Tablet (Winthrop Pharmaceuticals Ltd)","dmd","ANX"
"121635001000027100","Lormetazepam 1mg Capsule","dmd","ANX"
"266411000001103","Trazodone 50mg capsules (Mylan)","dmd","ANX"
"529711000001100","Lormetazepam 1mg tablets (Mylan)","dmd","ANX"
"909511000001106","Temazepam 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)","dmd","ANX"
"321242006","Alprazolam 500microgram tablets","dmd","ANX"
"93015001000027106","Oxazepam 30mg Tablet","dmd","ANX"
"185185001000027101","Temazepam 10mg gel-fill capsules","dmd","ANX"
"88965001000027104","Buspirone 5mg Tablet (Galen Ltd)","dmd","ANX"
"9797111000001107","Zopiclone 3.75mg tablets (Almus Pharmaceuticals Ltd)","dmd","ANX"
"868211000001107","Trazodone 50mg capsules (A A H Pharmaceuticals Ltd)","dmd","ANX"
"183755001000027107","Temazepam 30mg capsules","dmd","ANX"
"130745001000027100","Oxanid 10mg Tablet (M A Steinhard Ltd)","dmd","ANX"
"467411000001100","Zopiclone 3.75mg tablets (Kent Pharmaceuticals Ltd)","dmd","ANX"
"105911000001103","Zopiclone 3.75mg tablets (Teva UK Ltd)","dmd","ANX"
"62805001000027103","Temazepam 10mg Tablet (IVAX Pharmaceuticals UK Ltd)","dmd","ANX"
"4231011000001104","Zolpidem 5mg tablets (IVAX Pharmaceuticals UK Ltd)","dmd","ANX"
"17175001000027107","Librium 5mg Tablet (ICN Pharmaceuticals France S.A.)","dmd","ANX"
"473511000001104","Temazepam 20mg tablets (Genus Pharmaceuticals Ltd)","dmd","ANX"
"321877001","Trazodone 150mg tablets","dmd","ANX"
"109835001000027100","Diazepam 5mg","dmd","ANX"
"173311000001109","Trazodone 100mg capsules (A A H Pharmaceuticals Ltd)","dmd","ANX"
"28345001000027108","Nitrazepam 5mg Tablet (DDSA Pharmaceuticals Ltd)","dmd","ANX"
"3166211000001106","Somnite 2.5mg/5ml oral suspension (Norgine Pharmaceuticals Ltd)","dmd","ANX"
"327611000001101","Lormetazepam 500microgram tablets (Thornton & Ross Ltd)","dmd","ANX"
"12533011000001103","Lorazepam 1mg tablets (Sandoz Ltd)","dmd","ANX"
"33275001000027101","Valium 2mg/5ml Oral solution (Roche Products Ltd)","dmd","ANX"
"142655001000027102","Temazepam 10mg capsules","dmd","ANX"
"286011000001109","Zopiclone 7.5mg tablets (Teva UK Ltd)","dmd","ANX"
"11815001000027108","Diazepam 5mg Tablet (Crosspharma Ltd)","dmd","ANX"
"842411000001101","Lorazepam 1mg tablets (Teva UK Ltd)","dmd","ANX"
"898611000001106","Lormetazepam 500microgram tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"321104009","Clomethiazole 192mg capsules","dmd","ANX"
"302511000001105","Buspirone 10mg tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"3904511000001104","Molipaxin 50mg/5ml oral liquid (Sanofi)","dmd","ANX"
"11505001000027107","Diazepam 5mg Tablet (Berk Pharmaceuticals Ltd)","dmd","ANX"
"67611000001106","Buspirone 10mg tablets (Actavis UK Ltd)","dmd","ANX"
"211325001000027105","Diazepam 10mg capsules","dmd","ANX"
"104711000001104","Temazepam 10mg tablets (IVAX Pharmaceuticals UK Ltd)","dmd","ANX"
"20920211000001100","Zolpidem 10mg tablets (Zentiva)","dmd","ANX"
"11415811000001106","Zopiclone 7.5mg tablets (PLIVA Pharma Ltd)","dmd","ANX"
"321295009","Lorazepam 2.5mg tablets","dmd","ANX"
"17155001000027109","Librium 5mg Capsule (ICN Pharmaceuticals France S.A.)","dmd","ANX"
"635511000001101","Temazepam 10mg tablets (Sandoz Ltd)","dmd","ANX"
"3925811000001106","Ativan 4mg/1ml solution for injection ampoules (Pfizer Ltd)","dmd","ANX"
"321123002","Lormetazepam 1mg tablets","dmd","ANX"
"321308004","Meprobamate 400mg tablets","dmd","ANX"
"185295001000027104","Temazepam gelthix 20mg Capsule (Pharmacia Ltd)","dmd","ANX"
"185275001000027108","Temazepam gelthix 10mg Capsule (Pharmacia Ltd)","dmd","ANX"
"21165001000027101","Temazepam 20mg Capsule (Berk Pharmaceuticals Ltd)","dmd","ANX"
"1811000001101","Molipaxin 150mg tablets (Zentiva)","dmd","ANX"
"113145001000027109","Diazepam 2mg Tablet (Regent Laboratories Ltd)","dmd","ANX"
"195911000001100","Lormetazepam 500microgram tablets (Mylan)","dmd","ANX"
"938611000001107","Temazepam 10mg tablets (Mylan)","dmd","ANX"
"16143211000001101","Buspar 10mg tablets (Lexon (UK) Ltd)","dmd","ANX"
"226111000001100","Trazodone 50mg capsules (Zentiva)","dmd","ANX"
"80205001000027102","Temazepam 10mg/5ml Oral solution (Generics (UK) Ltd)","dmd","ANX"
"12533211000001108","Lorazepam 2.5mg tablets (Sandoz Ltd)","dmd","ANX"
"21155001000027105","Temazepam 10mg Capsule (Berk Pharmaceuticals Ltd)","dmd","ANX"
"120455001000027108","Zolpidem 5mg Tablet (Winthrop Pharmaceuticals Ltd)","dmd","ANX"
"733311000001101","Zopiclone 3.75mg tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"4658511000001101","Xanax 250microgram tablets (Upjohn UK Ltd)","dmd","ANX"
"151911000001106","Trazodone 150mg tablets (Mylan)","dmd","ANX"
"652111000001102","Temazepam 10mg tablets (Actavis UK Ltd)","dmd","ANX"
"22066511000001107","Temazepam 10mg tablets (F.Maltby & Sons Ltd)","dmd","ANX"
"8624311000001104","Lorazepam 1mg/5ml oral solution","dmd","ANX"
"466711000001108","Zopiclone 7.5mg tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"254811000001101","Zopiclone 7.5mg tablets (Kent Pharmaceuticals Ltd)","dmd","ANX"
"129345001000027104","Remnos 10mg Tablet (DDSA Pharmaceuticals Ltd)","dmd","ANX"
"267711000001107","Temazepam 20mg tablets (Sandoz Ltd)","dmd","ANX"
"33235001000027103","Valium 2mg Capsule (Roche Products Ltd)","dmd","ANX"
"8660011000001104","Lorazepam 5mg/5ml oral suspension","dmd","ANX"
"39245001000027104","Loramet 1mg Capsule (Wyeth Pharmaceuticals)","dmd","ANX"
"4549511000001102","Molipaxin CR 150mg tablets (Aventis Pharma)","dmd","ANX"
"377911000001108","Temazepam 20mg tablets (Mylan)","dmd","ANX"
"741511000001107","Buspirone 5mg tablets (Actavis UK Ltd)","dmd","ANX"
"17877911000001107","Zopiclone 7.5mg tablets (Phoenix Healthcare Distribution Ltd)","dmd","ANX"
"185205001000027102","Temazepam 20mg gel-fill capsules","dmd","ANX"
"20032211000001105","Zimovane 7.5mg tablets (Lexon (UK) Ltd)","dmd","ANX"
"321294008","Lorazepam 1mg tablets","dmd","ANX"
"209411000001106","Temazepam 10mg tablets (Genus Pharmaceuticals Ltd)","dmd","ANX"
"845311000001102","Lorazepam 2.5mg tablets (Genus Pharmaceuticals Ltd)","dmd","ANX"
"730411000001100","Temazepam 20mg tablets (IVAX Pharmaceuticals UK Ltd)","dmd","ANX"
"733411000001108","Trazodone 100mg capsules (Mylan)","dmd","ANX"
"4557211000001109","Trazodone 150mg modified-release tablets","dmd","ANX"
"12144111000001108","Nitrazepam 10mg/5ml oral suspension","dmd","ANX"
"13359911000001106","Trazodone 75mg/5ml oral solution","dmd","ANX"
"129255001000027108","Nitrazepam 5mg Capsule","dmd","ANX"
"741811000001105","Buspirone 5mg tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"120111000001101","Nitrazepam 5mg tablets (Ranbaxy (UK) Ltd)","dmd","ANX"
"656611000001106","Trazodone 100mg capsules (Teva UK Ltd)","dmd","ANX"
"328811000001103","Zopiclone 3.75mg tablets (IVAX Pharmaceuticals UK Ltd)","dmd","ANX"
"72525001000027105","Temazepam 20mg Tablet (Lagap)","dmd","ANX"
"33245001000027102","Valium 5mg Capsule (Roche Products Ltd)","dmd","ANX"
"87435001000027101","Evacalm 5mg Tablet (Unimed Pharmaceuticals Ltd)","dmd","ANX"
"8945001000027103","Nitrazepam 5mg Tablet (Berk Pharmaceuticals Ltd)","dmd","ANX"
"185245001000027107","Temazepam 30mg gel-fill capsules","dmd","ANX"
"415711000001104","Temazepam 20mg tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"21895001000027108","Normison 10mg Capsule (Wyeth Pharmaceuticals)","dmd","ANX"
"8798911000001108","Zopiclone 7.5mg/5ml oral suspension","dmd","ANX"
"8659511000001108","Lorazepam 2mg/5ml oral suspension","dmd","ANX"
"156511000001108","Nitrazepam 5mg tablets (Mylan)","dmd","ANX"
"3207711000001103","Zolpidem 5mg tablets (Teva UK Ltd)","dmd","ANX"
"88975001000027106","Buspirone 10mg Tablet (Galen Ltd)","dmd","ANX"
"44865001000027102","Temazepam 10mg Tablet (Pharmacia Ltd)","dmd","ANX"
"418911000001108","Nitrazepam 5mg tablets (Wockhardt UK Ltd)","dmd","ANX"
"167735001000027102","Temazepam planpak Capsule (Manufacturer unknown)","dmd","ANX"
"103835001000027102","Temazepam 20mg Tablet (Pharmacia Ltd)","dmd","ANX"
"321127001","Nitrazepam 5mg tablets","dmd","ANX"
"321881001","Trazodone 50mg capsules","dmd","ANX"
"10855001000027107","Euhypnos 10mg/5ml Oral solution (Pharmacia Ltd)","dmd","ANX"
"17235001000027107","Librium 25mg Tablet (ICN Pharmaceuticals France S.A.)","dmd","ANX"
"321327005","Buspirone 10mg tablets","dmd","ANX"
"15203611000001105","Zopiclone 7.5mg tablets (Sigma Pharmaceuticals Plc)","dmd","ANX"
"116211000001104","Nitrazepam 5mg tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"33305001000027103","Valium 5mg Tablet (Roche Products Ltd)","dmd","ANX"
"21790611000001108","Temazepam 10mg tablets (Ethigen Ltd)","dmd","ANX"
"118385001000027105","Diazepam 10mg Tablet (M & A Pharmachem Ltd)","dmd","ANX"
"21235001000027108","Temazepam 10mg Capsule (Hillcross Pharmaceuticals Ltd)","dmd","ANX"
"3909411000001104","Trazodone 50mg/5ml oral solution sugar free","dmd","ANX"
"478511000001108","Lorazepam 2.5mg tablets (Teva UK Ltd)","dmd","ANX"
"178011000001104","Zimovane LS 3.75mg tablets (Sanofi)","dmd","ANX"
"10387311000001105","Lorazepam 1mg tablets (Arrow Generics Ltd)","dmd","ANX"
"4659411000001108","Xanax 500microgram tablets (Upjohn UK Ltd)","dmd","ANX"
"19609611000001101","Zopiclone 3.75mg/5ml oral solution","dmd","ANX"
"514911000001107","Mogadon 5mg tablets (Mylan)","dmd","ANX"
"8659811000001106","Lorazepam 500micrograms/5ml oral suspension","dmd","ANX"
"130705001000027105","Oxazepam 30mg Capsule","dmd","ANX"
"19605001000027109","Mogadon 5mg Tablet (ICN Pharmaceuticals France S.A.)","dmd","ANX"
"852811000001101","Temazepam 10mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)","dmd","ANX"
"171511000001102","Lormetazepam 1mg tablets (Thornton & Ross Ltd)","dmd","ANX"
"17165001000027100","Librium 10mg Capsule (ICN Pharmaceuticals France S.A.)","dmd","ANX"
"21905001000027100","Normison 20mg Capsule (Wyeth Pharmaceuticals)","dmd","ANX"
"13359611000001100","Trazodone 25mg/5ml oral suspension","dmd","ANX"
"185311000001100","Temazepam 20mg tablets (Actavis UK Ltd)","dmd","ANX"
"13359211000001102","Trazodone 150mg/5ml oral suspension","dmd","ANX"
"321880000","Trazodone 100mg capsules","dmd","ANX"
"616211000001103","Temazepam 20mg tablets (Teva UK Ltd)","dmd","ANX"
"737211000001100","Buspar 10mg tablets (IXL Pharma Ltd)","dmd","ANX"
"321241004","Alprazolam 250microgram tablets","dmd","ANX"
"21295001000027101","Temazepam 20mg Tablet (Wyeth Pharmaceuticals)","dmd","ANX"
"8659911000001101","Lorazepam 5mg/5ml oral solution","dmd","ANX"
"21365001000027109","Nitrados 5mg Tablet (Rorer Pharmaceuticals Ltd)","dmd","ANX"
"369211000001100","Molipaxin 50mg capsules (Zentiva)","dmd","ANX"
"142665001000027106","Temazepam 20mg capsules","dmd","ANX"
"245211000001103","Temazepam 10mg tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"109825001000027102","Diazepam 2mg capsules","dmd","ANX"
"17225001000027105","Librium 10mg Tablet (ICN Pharmaceuticals France S.A.)","dmd","ANX"
"142675001000027104","Temazepam 15mg capsules","dmd","ANX"
"20411000001101","Zopiclone 7.5mg tablets (Mylan)","dmd","ANX"
"321129003","Nitrazepam 2.5mg/5ml oral suspension","dmd","ANX"
"37035001000027102","Euhypnos forte 20mg Capsule (Pharmacia Ltd)","dmd","ANX"
"321177003","Zopiclone 3.75mg tablets","dmd","ANX"
"13739311000001107","Temazepam 10mg/5ml oral solution sugar free (Advanz Pharma)","dmd","ANX"
"295711000001104","Lorazepam 1mg tablets (A A H Pharmaceuticals Ltd)","dmd","ANX"
"321122007","Lormetazepam 500microgram tablets","dmd","ANX"
"47515001000027109","Librium 100mg Injection (Roche Products Ltd)","dmd","ANX"
"591711000001108","Zopiclone 7.5mg tablets (Actavis UK Ltd)","dmd","ANX"
"18752111000001104","Trazodone 50mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)","dmd","ANX"
"21245001000027109","Temazepam 20mg Capsule (Hillcross Pharmaceuticals Ltd)","dmd","ANX"
"321323009","Buspirone 5mg tablets","dmd","ANX"
"321184006","Zolpidem 10mg tablets","dmd","ANX"
"224011000001106","Zileze 3.75 tablets (Opus Pharmaceuticals Ltd)","dmd","ANX"
"36040511000001101","Lorazepam 4mg/1ml solution for injection ampoules","dmd","ANX"
"297311000001106","Heminevrin 192mg capsules (AstraZeneca UK Ltd)","dmd","ANX"
"87505001000027102","Solis 5mg Capsule (Galen Ltd)","dmd","ANX"
"20324811000001104","Lorazepam 1mg tablets (Genesis Pharmaceuticals Ltd)","dmd","ANX"
"118315001000027108","Diazepam 2mg Tablet (M & A Pharmachem Ltd)","dmd","ANX"
"5334411000001106","Zolpidem 10mg tablets (Mylan)","dmd","ANX"
"3206111000001102","Stilnoct 5mg tablets (Sanofi)","dmd","ANX"
"33315001000027101","Valium 10mg Tablet (Roche Products Ltd)","dmd","ANX"
"4231211000001109","Zolpidem 10mg tablets (IVAX Pharmaceuticals UK Ltd)","dmd","ANX"
"75511000001108","Molipaxin 100mg capsules (Zentiva)","dmd","ANX"
"321191009","Zaleplon 10mg capsules","dmd","ANX"
"185315001000027108","Temazepam gelthix 30mg Capsule (Pharmacia Ltd)","dmd","ANX"
"321153009","Temazepam 20mg tablets","dmd","ANX"
"19471711000001104","Clomethiazole 192mg capsules (A A H Pharmaceuticals Ltd)","dmd","ANX"
"21565001000027107","Noctamid 0.5mg Tablet (Schering Health Care Ltd)","dmd","ANX"
"620611000001108","Trazodone 150mg tablets (Teva UK Ltd)","dmd","ANX"
"152611000001106","Temazepam 10mg tablets (Teva UK Ltd)","dmd","ANX"
"878811000001101","Zopiclone 7.5mg tablets (IVAX Pharmaceuticals UK Ltd)","dmd","ANX"
"321183000","Zolpidem 5mg tablets","dmd","ANX"
"76635001000027103","Oxazepam 10mg Tablet (IVAX Pharmaceuticals UK Ltd)","dmd","ANX"
"7378411000001104","Zopiclone 7.5mg tablets (Sandoz Ltd)","dmd","ANX"
"158611000001108","Trazodone 100mg capsules (Zentiva)","dmd","ANX"
"11495001000027101","Diazepam 2mg Tablet (Berk Pharmaceuticals Ltd)","dmd","ANX"
"562111000001100","Zileze 7.5 tablets (Opus Pharmaceuticals Ltd)","dmd","ANX"
"380111000001104","Nitrazepam 5mg tablets (Actavis UK Ltd)","dmd","ANX"
"d1...","HYPNOTICS","readv2","ANX"
"d11..","CHLORAL HYDRATE","readv2","ANX"
"d111.","*CHLORAL 500mg/5mL mixture","readv2","ANX"
"d112.","CHLORAL PAEDIATRIC 200mg/5mL elixir","readv2","ANX"
"d113.","*NOCTEC 500mg capsules","readv2","ANX"
"d114.","CHLORAL HYDRATE 500mg capsules","readv2","ANX"
"d115.","*WELLDORM 143mg/5mL elixir","readv2","ANX"
"d116.","*WELLDORM tablets","readv2","ANX"
"d117.","CHLORAL HYDRATE 414mg tablets","readv2","ANX"
"d118.","CHLORAL HYDRATE 143mg/5mL elixir","readv2","ANX"
"d12..","CLOMETHIAZOLE EDISYLATE [HYPNOTIC]","readv2","ANX"
"d121.","*HEMINEVRIN 192mg capsules","readv2","ANX"
"d122.","*HEMINEVRIN 250mg/5mL syrup","readv2","ANX"
"d123.","*HEMINEVRIN 8mg/mL infusion","readv2","ANX"
"d12v.","CLOMETHIAZOLE(base) 192mg capsules","readv2","ANX"
"d12w.","CLOMETHIAZOLE EDISILATE 250mg/5mL syrup","readv2","ANX"
"d12z.","CHLORMETHIAZOLE EDISYLATE 8mg/mL infusion","readv2","ANX"
"d14..","*FLUNITRAZEPAM","readv2","ANX"
"d141.","*ROHYPNOL 1mg tablets","readv2","ANX"
"d14z.","*FLUNITRAZEPAM 1mg tablets","readv2","ANX"
"d15..","FLURAZEPAM","readv2","ANX"
"d151.","DALMANE 15mg capsules","readv2","ANX"
"d152.","DALMANE 30mg capsules","readv2","ANX"
"d153.","*PAXANE 15mg capsules","readv2","ANX"
"d154.","*PAXANE 30mg capsules","readv2","ANX"
"d15y.","FLURAZEPAM 15mg capsules","readv2","ANX"
"d15z.","FLURAZEPAM 30mg capsules","readv2","ANX"
"d16..","LOPRAZOLAM","readv2","ANX"
"d161.","LOPRAZOLAM 1mg tablets","readv2","ANX"
"d162.","*DORMONOCT 1mg tablets","readv2","ANX"
"d17..","LORMETAZEPAM","readv2","ANX"
"d171.","LORMETAZEPAM 500micrograms tablets","readv2","ANX"
"d172.","LORMETAZEPAM 1mg tablets","readv2","ANX"
"d18..","NITRAZEPAM","readv2","ANX"
"d181.","*NITRAZEPAM 5mg capsules","readv2","ANX"
"d182.","NITRAZEPAM 5mg tablets","readv2","ANX"
"d183.","*NITRAZEPAM 10mg tablets","readv2","ANX"
"d184.","NITRAZEPAM 2.5mg/5mL mixture","readv2","ANX"
"d185.","*MOGADON 5mg capsules","readv2","ANX"
"d186.","MOGADON 5mg tablets","readv2","ANX"
"d189.","REMNOS 5mg tablets","readv2","ANX"
"d18a.","*REMNOS 10mg tablets","readv2","ANX"
"d18c.","*SOMNITE 2.5mg/5mL mixture","readv2","ANX"
"d18e.","*UNISOMNIA 5mg tablets","readv2","ANX"
"d19..","PROMETHAZINE HCL [HYPNOTIC] see section c8i..","readv2","ANX"
"d1a..","TEMAZEPAM [HYPNOTIC]","readv2","ANX"
"d1a1.","*TEMAZEPAM 10mg capsules","readv2","ANX"
"d1a2.","*TEMAZEPAM 15mg capsules","readv2","ANX"
"d1a3.","*TEMAZEPAM 20mg capsules","readv2","ANX"
"d1a4.","*TEMAZEPAM 30mg capsules","readv2","ANX"
"d1a5.","*TEMAZEPAM 10mg/5mL elixir","readv2","ANX"
"d1a6.","*NORMISON 10mg capsules","readv2","ANX"
"d1a7.","*NORMISON 20mg capsules","readv2","ANX"
"d1a8.","*TEMAZEPAM PLANPAK capsules","readv2","ANX"
"d1a9.","TEMAZEPAM 10mg tablets","readv2","ANX"
"d1aa.","TEMAZEPAM 20mg tablets","readv2","ANX"
"d1ab.","TEMAZEPAM GELTHIX 10mg capsules","readv2","ANX"
"d1ac.","TEMAZEPAM GELTHIX 20mg capsules","readv2","ANX"
"d1ad.","TEMAZEPAM GELTHIX 15mg capsules","readv2","ANX"
"d1ae.","TEMAZEPAM GELTHIX 30mg capsules","readv2","ANX"
"d1af.","TEMAZEPAM GEL FILLED 10mg capsules","readv2","ANX"
"d1ag.","TEMAZEPAM GEL FILLED 20mg capsules","readv2","ANX"
"d1ah.","TEMAZEPAM GEL FILLED 15mg capsules","readv2","ANX"
"d1ai.","TEMAZEPAM GEL FILLED 30mg capsules","readv2","ANX"
"d1b..","*TRIAZOLAM","readv2","ANX"
"d1c..","TRICLOFOS SODIUM","readv2","ANX"
"d1c1.","*TRICLOFOS 500mg/5mL liquid","readv2","ANX"
"d1d..","ZOPICLONE","readv2","ANX"
"d1d1.","ZOPICLONE 7.5mg tablets","readv2","ANX"
"d1d2.","ZIMOVANE 7.5mg tablets","readv2","ANX"
"d2...","ANXIOLYTICS","readv2","ANX"
"d21..","DIAZEPAM [ANXIOLYTIC]","readv2","ANX"
"d211.","*DIAZEPAM 2mg capsules","readv2","ANX"
"d212.","*DIAZEPAM 5mg capsules","readv2","ANX"
"d213.","DIAZEPAM 2mg tablets","readv2","ANX"
"d214.","DIAZEPAM 5mg tablets","readv2","ANX"
"d215.","DIAZEPAM 10mg tablets","readv2","ANX"
"d216.","DIAZEPAM 2mg/5mL elixir","readv2","ANX"
"d21a.","*ATENSINE 2mg tablets","readv2","ANX"
"d21b.","*ATENSINE 5mg tablets","readv2","ANX"
"d21c.","*ATENSINE 10mg tablets","readv2","ANX"
"d21d.","DIAZEMULS 10mg/2mL ampoules","readv2","ANX"
"d21e.","*EVACALM 2mg tablets","readv2","ANX"
"d21i.","*STESOLID 10mg/2mL injection","readv2","ANX"
"d21k.","STESOLID 5mg rectal solution","readv2","ANX"
"d21l.","STESOLID 10mg rectal solution","readv2","ANX"
"d21m.","TENSIUM 2mg tablets","readv2","ANX"
"d21n.","TENSIUM 5mg tablets","readv2","ANX"
"d21o.","TENSIUM 10mg tablets","readv2","ANX"
"d21r.","*VALIUM 2mg tablets","readv2","ANX"
"d21s.","*VALIUM 5mg tablets","readv2","ANX"
"d21t.","*VALIUM 10mg tablets","readv2","ANX"
"d21u.","*VALIUM 2mg/5mL syrup","readv2","ANX"
"d21v.","VALIUM [ANXIOL] 10mg/2mL injection","readv2","ANX"
"d21y.","*VALIUM 10mg suppositories","readv2","ANX"
"d22..","ALPRAZOLAM","readv2","ANX"
"d221.","XANAX 250micrograms tablets","readv2","ANX"
"d222.","XANAX 500micrograms tablets","readv2","ANX"
"d22y.","ALPRAZOLAM 250microgram tablets","readv2","ANX"
"d22z.","ALPRAZOLAM 500microgram tablets","readv2","ANX"
"d23..","BROMAZEPAM","readv2","ANX"
"d231.","*LEXOTAN 1.5mg tablets","readv2","ANX"
"d232.","*LEXOTAN 3mg tablets","readv2","ANX"
"d23y.","*BROMAZEPAM 1.5mg tablets","readv2","ANX"
"d23z.","*BROMAZEPAM 3mg tablets","readv2","ANX"
"d24..","CHLORDIAZEPOXIDE","readv2","ANX"
"d241.","CHLORDIAZEPOXIDE 5mg capsules","readv2","ANX"
"d242.","CHLORDIAZEPOXIDE 10mg capsules","readv2","ANX"
"d243.","CHLORDIAZEPOXIDE HYDROCHLORIDE 5mg tablets","readv2","ANX"
"d244.","CHLORDIAZEPOXIDE HYDROCHLORIDE 10mg tablets","readv2","ANX"
"d245.","CHLORDIAZEPOXIDE HYDROCHLORIDE 25mg tablets","readv2","ANX"
"d246.","*CHLORDIAZEPOXIDE 5mg tablets","readv2","ANX"
"d247.","*CHLORDIAZEPOXIDE 10mg tablets","readv2","ANX"
"d248.","*CHLORDIAZEPOXIDE 25mg tablets","readv2","ANX"
"d249.","LIBRIUM 5mg capsules","readv2","ANX"
"d24a.","LIBRIUM 10mg capsules","readv2","ANX"
"d24b.","*LIBRIUM 5mg tablets","readv2","ANX"
"d24c.","*LIBRIUM 10mg tablets","readv2","ANX"
"d24d.","*LIBRIUM 25mg tablets","readv2","ANX"
"d24f.","TROPIUM 5mg capsules","readv2","ANX"
"d24g.","*TROPIUM 10mg capsules","readv2","ANX"
"d24h.","TROPIUM 5mg tablets","readv2","ANX"
"d24i.","TROPIUM 10mg tablets","readv2","ANX"
"d24j.","*TROPIUM 25mg tablets","readv2","ANX"
"d25..","CHLORMEZANONE","readv2","ANX"
"d251.","*TRANCOPAL 200mg tablets","readv2","ANX"
"d25z.","*CHLORMEZANONE 200mg tablets","readv2","ANX"
"d26..","CLOBAZAM","readv2","ANX"
"d27..","CLORAZEPATE DIPOTASSIUM","readv2","ANX"
"d271.","*TRANXENE 7.5mg capsules","readv2","ANX"
"d272.","*TRANXENE 15mg capsules","readv2","ANX"
"d27y.","CLORAZEPATE DIPOTASSIUM 7.5mg capsules","readv2","ANX"
