"Code","Desc","Type","Comorb"
"66e0.","Alcohol abuse monitoring","read_v2","ALC"
"E231z","Chronic alcoholism NOS","read_v2","ALC"
"E01y.","Other alcoholic psychosis","read_v2","ALC"
"E230z","Acute alcoholic intoxication in alcoholism NOS","read_v2","ALC"
"E0120","Chronic alcoholic brain syndrome","read_v2","ALC"
"Eu102","[X]Mental and behav dis due to use alcohol: dependence syndr","read_v2","ALC"
"Eu106","[X]Mental and behav dis due to use alcohol: amnesic syndrome","read_v2","ALC"
"E2300","Acute alcoholic intoxication, unspecified, in alcoholism","read_v2","ALC"
"E011z","Alcohol amnestic syndrome NOS","read_v2","ALC"
"Z191.","Alcohol detoxification","read_v2","ALC"
"E2310","Unspecified chronic alcoholism","read_v2","ALC"
"Eu100","[X]Mental & behav dis due to use alcohol: acute intoxication","read_v2","ALC"
"Eu10y","[X]Men & behav dis due to use alcohol: oth men & behav dis","read_v2","ALC"
"E012.","Other alcoholic dementia","read_v2","ALC"
"E2301","Continuous acute alcoholic intoxication in alcoholism","read_v2","ALC"
"E014.","Pathological alcohol intoxication","read_v2","ALC"
"E2303","Acute alcoholic intoxication in remission, in alcoholism","read_v2","ALC"
"Eu107","[X]Men & behav dis due alcoh: resid & late-onset psychot dis","read_v2","ALC"
"Eu104","[X]Men & behav dis due alcohl: withdrawl state with delirium","read_v2","ALC"
"Eu10z","[X]Ment & behav dis due use alcohol: unsp ment & behav dis","read_v2","ALC"
"E01z.","Alcoholic psychosis NOS","read_v2","ALC"
"E01yz","Other alcoholic psychosis NOS","read_v2","ALC"
"XaKvA","Hazardous alcohol use","read_ctv3","ALC"
"XaKvB","Harmful alcohol use","read_ctv3","ALC"
"XaJni","Alcohol disorder monitoring","read_ctv3","ALC"
"XaLrN","Alcohol abuse monitoring","read_ctv3","ALC"
"XE1Xu","Other alcoholic dementia","read_ctv3","ALC"
"X00Rk","Alcoholic dementia NOS","read_ctv3","ALC"
"XE1YQ","Alcohol dependence syndrome","read_ctv3","ALC"
"XE1YX","Nondependent alcohol abuse","read_ctv3","ALC"
"X00Ro","Drunkenness NOS","read_ctv3","ALC"
"X007p","Hangover from alcohol","read_ctv3","ALC"
"X00Rn","Inebriety NOS","read_ctv3","ALC"
"XE1ZE","[X]Mental and behavioural disorders due to use of alcohol: dependence syndrome","read_ctv3","ALC"
"XE1ZF","[X]Mental and behavioural disorders due to use of alcohol: psychotic disorder","read_ctv3","ALC"
"XE1ZG","[X]Mental and behavioural disorders due to use of alcohol: residual and late-onset psychotic disorder","read_ctv3","ALC"
"XaLWu","[X]Alcohol withdrawal-induced seizure","read_ctv3","ALC"
"R0360","[D]Bulimia NOS","read_v2","ANO"
"R030.","[D]Anorexia","read_v2","ANO"
"E271.","Anorexia nervosa","read_v2","ANO"
"E2751","Bulimia (non-organic overeating)","read_v2","ANO"
"Eu502","[X]Bulimia NOS","read_v2","ANO"
"1467.","H/O: anorexia nervosa","read_v2","ANO"
"Eu500","[X]Anorexia nervosa","read_v2","ANO"
"Eu503","[X]Atypical bulimia nervosa","read_v2","ANO"
"Eu501","[X]Atypical anorexia nervosa","read_v2","ANO"
"R030z","[D]Anorexia NOS","read_v2","ANO"
"XE1Yk","Bulimia nervosa","read_ctv3","ANO"
"X00Sz","Atypical anorexia nervosa","read_ctv3","ANO"
"X00T1","Atypical bulimia nervosa","read_ctv3","ANO"
"E2781","Tension headache","read_v2","ANX"
"E28..","Acute reaction to stress","read_v2","ANX"
"E200.","Anxiety states","read_v2","ANX"
"E2003","Anxiety with depression","read_v2","ANX"
"E207.","Hypochondriasis","read_v2","ANX"
"E202B","Cancer phobia","read_v2","ANX"
"E2028","Claustrophobia","read_v2","ANX"
"E2004","Chronic anxiety","read_v2","ANX"
"E202.","Phobic disorders","read_v2","ANX"
"E2031","Obsessional neurosis","read_v2","ANX"
"E21..","Personality disorders","read_v2","ANX"
"E201.","Hysteria","read_v2","ANX"
"E2020","Phobia unspecified","read_v2","ANX"
"E202C","Dental phobia","read_v2","ANX"
"Eu400","[X]Agoraphobia","read_v2","ANX"
"E2900","Grief reaction","read_v2","ANX"
"E29..","Adjustment reaction","read_v2","ANX"
"E2642","Cyclical vomiting - psychogenic","read_v2","ANX"
"E2021","Agoraphobia with panic attacks","read_v2","ANX"
"E203.","Obsessive-compulsive disorders","read_v2","ANX"
"E205.","Neurasthenia - nervous debility","read_v2","ANX"
"E2011","Hysterical blindness","read_v2","ANX"
"E20y1","Writer's cramp neurosis","read_v2","ANX"
"E2644","Psychogenic dyspepsia","read_v2","ANX"
"E2001","Panic disorder","read_v2","ANX"
"E202A","Fear of flying","read_v2","ANX"
"Eu431","[X]Post - traumatic stress disorder","read_v2","ANX"
"E26..","Physiological malfunction arising from mental factors","read_v2","ANX"
"E2017","Hysterical amnesia","read_v2","ANX"
"E200z","Anxiety state NOS","read_v2","ANX"
"E2005","Recurrent anxiety","read_v2","ANX"
"E2002","Generalised anxiety disorder","read_v2","ANX"
"E2018","Hysterical fugue","read_v2","ANX"
"E2640","Psychogenic aerophagy","read_v2","ANX"
"E26z.","Psychosomatic disorder NOS","read_v2","ANX"
"E20..","Neurotic disorders","read_v2","ANX"
"Eu42.","[X]Obsessive - compulsive disorder","read_v2","ANX"
"E206.","Depersonalisation syndrome","read_v2","ANX"
"Eu41.","[X]Other anxiety disorders","read_v2","ANX"
"E210.","Paranoid personality disorder","read_v2","ANX"
"E2030","Compulsive neurosis","read_v2","ANX"
"E202E","Fear of pregnancy","read_v2","ANX"
"E2930","Adjustment reaction with aggression","read_v2","ANX"
"E2920","Separation anxiety disorder","read_v2","ANX"
"E2000","Anxiety state unspecified","read_v2","ANX"
"Eu452","[X]Hypochondriacal disorder","read_v2","ANX"
"E29y3","Elective mutism due to an adjustment reaction","read_v2","ANX"
"Eu410","[X]Panic disorder [episodic paroxysmal anxiety]","read_v2","ANX"
"8G94.","Anxiety management training","read_v2","ANX"
"Eu461","[X]Depersonalization - derealization syndrome","read_v2","ANX"
"Eu40.","[X]Phobic anxiety disorders","read_v2","ANX"
"E2...","Neurotic, personality and other nonpsychotic disorders","read_v2","ANX"
"Eu402","[X]Specific (isolated) phobias","read_v2","ANX"
"E26y0","Bruxism (teeth grinding)","read_v2","ANX"
"Eu411","[X]Generalized anxiety disorder","read_v2","ANX"
"E202D","Fear of death","read_v2","ANX"
"E2112","Depressive personality disorder","read_v2","ANX"
"Eu43.","[X]Reaction to severe stress, and adjustment disorders","read_v2","ANX"
"Eu432","[X]Adjustment disorders","read_v2","ANX"
"Eu401","[X]Social phobias","read_v2","ANX"
"Eu430","[X]Acute stress reaction","read_v2","ANX"
"Eu412","[X]Mixed anxiety and depressive disorder","read_v2","ANX"
"E280.","Acute panic state due to acute stress reaction","read_v2","ANX"
"E2111","Hypomanic personality disorder","read_v2","ANX"
"Eu455","[X]Globus pharyngeus","read_v2","ANX"
"Eu403","[X]Needle phobia","read_v2","ANX"
"E2113","Cyclothymic personality disorder","read_v2","ANX"
"E2022","Agoraphobia without mention of panic attacks","read_v2","ANX"
"E202z","Phobic disorder NOS","read_v2","ANX"
"E20z.","Neurotic disorder NOS","read_v2","ANX"
"E211.","Affective personality disorder","read_v2","ANX"
"E262z","Psychogenic cardiovascular symptom NOS","read_v2","ANX"
"E260z","Psychogenic musculoskeletal symptoms NOS","read_v2","ANX"
"E263z","Psychogenic skin symptoms NOS","read_v2","ANX"
"E2622","Neurocirculatory asthenia","read_v2","ANX"
"E2620","Cardiac neurosis","read_v2","ANX"
"E20y0","Somatization disorder","read_v2","ANX"
"E2643","Psychogenic diarrhoea","read_v2","ANX"
"E2016","Other conversion disorder","read_v2","ANX"
"E2611","Psychogenic cough","read_v2","ANX"
"E282.","Acute stupor state due to acute stress reaction","read_v2","ANX"
"E203z","Obsessive-compulsive disorder NOS","read_v2","ANX"
"E292z","Adjustment reaction with disturbance of other emotion NOS","read_v2","ANX"
"E2645","Psychogenic constipation","read_v2","ANX"
"E2630","Psychogenic pruritus","read_v2","ANX"
"E2110","Unspecified affective personality disorder","read_v2","ANX"
"E2023","Social phobia, fear of eating in public","read_v2","ANX"
"E293.","Adjustment reaction with predominant disturbance of conduct","read_v2","ANX"
"E2015","Hysterical seizures","read_v2","ANX"
"Eu460","[X]Neurasthenia","read_v2","ANX"
"Eu45.","[X]Somatoform disorders","read_v2","ANX"
"Eu422","[X]Mixed obsessional thoughts and acts","read_v2","ANX"
"E2025","Social phobia, fear of public washing","read_v2","ANX"
"E29y5","Other adjustment reaction with withdrawal","read_v2","ANX"
"E2613","Psychogenic hyperventilation","read_v2","ANX"
"E2651","Psychogenic vaginismus","read_v2","ANX"
"E2830","Acute situational disturbance","read_v2","ANX"
"Eu420","[X]Predominantly obsessional thoughts or ruminations","read_v2","ANX"
"Eu43y","[X]Other reactions to severe stress","read_v2","ANX"
"Eu421","[X]Predominantly compulsive acts [obsessional rituals]","read_v2","ANX"
"Eu44.","[X]Dissociative [conversion] disorders","read_v2","ANX"
"Eu42z","[X]Obsessive-compulsive disorder, unspecified","read_v2","ANX"
"E2921","Adolescent emancipation disorder","read_v2","ANX"
"E201z","Hysteria NOS","read_v2","ANX"
"E2614","Psychogenic yawning","read_v2","ANX"
"E29yz","Other adjustment reactions NOS","read_v2","ANX"
"E201A","Dissociative reaction unspecified","read_v2","ANX"
"E2013","Hysterical tremor","read_v2","ANX"
"Eu4..","[X]Neurotic, stress - related and somoform disorders","read_v2","ANX"
"Eu41z","[X]Anxiety disorder, unspecified","read_v2","ANX"
"E284.","Stress reaction causing mixed disturbance of emotion/conduct","read_v2","ANX"
"Eu41y","[X]Other specified anxiety disorders","read_v2","ANX"
"E292.","Adjustment reaction, predominant disturbance other emotions","read_v2","ANX"
"Eu450","[X]Somatization disorder","read_v2","ANX"
"E201C","Phantom pregnancy","read_v2","ANX"
"E2831","Acute posttrauma stress state","read_v2","ANX"
"E28z.","Acute stress reaction NOS","read_v2","ANX"
"E29y4","Adjustment reaction due to hospitalisation","read_v2","ANX"
"Eu446","[X]Dissociative anaesthesia and sensory loss","read_v2","ANX"
"Eu40y","[X]Other phobic anxiety disorders","read_v2","ANX"
"Eu46.","[X]Other neurotic disorders","read_v2","ANX"
"E2026","Acrophobia","read_v2","ANX"
"E2027","Animal phobia","read_v2","ANX"
"E201B","Compensation neurosis","read_v2","ANX"
"E262.","Psychogenic cardiovascular symptoms","read_v2","ANX"
"E263.","Psychogenic skin symptoms","read_v2","ANX"
"E283z","Other acute stress reaction NOS","read_v2","ANX"
"Eu454","[X]Persistent somatoform pain disorder","read_v2","ANX"
"E2623","Psychogenic cardiovascular disorder","read_v2","ANX"
"E264.","Psychogenic gastrointestinal tract symptoms","read_v2","ANX"
"Eu43z","[X]Reaction to severe stress, unspecified","read_v2","ANX"
"E2029","Fear of crowds","read_v2","ANX"
"E2024","Social phobia, fear of public speaking","read_v2","ANX"
"E2610","Psychogenic air hunger","read_v2","ANX"
"E29y1","Other post-traumatic stress disorder","read_v2","ANX"
"Eu40z","[X]Phobic anxiety disorder, unspecified","read_v2","ANX"
"E261z","Psychogenic respiratory symptom NOS","read_v2","ANX"
"E2014","Hysterical paralysis","read_v2","ANX"
"Eu444","[X]Dissociative motor disorders","read_v2","ANX"
"E29y2","Adjustment reaction with physical symptoms","read_v2","ANX"
"E2931","Adjustment reaction with antisocial behaviour","read_v2","ANX"
"E29z.","Adjustment reaction NOS","read_v2","ANX"
"E261.","Psychogenic respiratory symptoms","read_v2","ANX"
"E283.","Other acute stress reactions","read_v2","ANX"
"Eu42y","[X]Other obsessive-compulsive disorders","read_v2","ANX"
"E20y2","Other occupational neurosis","read_v2","ANX"
"Eu443","[X]Trance and possession disorders","read_v2","ANX"
"Eu441","[X]Dissociative fugue","read_v2","ANX"
"E278.","Psychalgia","read_v2","ANX"
"Eu440","[X]Dissociative amnesia","read_v2","ANX"
"Eu453","[X]Somatoform autonomic dysfunction","read_v2","ANX"
"E29y.","Other adjustment reactions","read_v2","ANX"
"E2010","Hysteria unspecified","read_v2","ANX"
"E2615","Psychogenic aphonia","read_v2","ANX"
"E20y.","Other neurotic disorders","read_v2","ANX"
"E281.","Acute fugue state due to acute stress reaction","read_v2","ANX"
"E20yz","Other neurotic disorder NOS","read_v2","ANX"
"E2019","Multiple personality","read_v2","ANX"
"E260.","Psychogenic musculoskeletal symptoms","read_v2","ANX"
"Eu413","[X]Other mixed anxiety disorders","read_v2","ANX"
"Eu46y","[X]Other specified neurotic disorders","read_v2","ANX"
"E2652","Psychogenic dysmenorrhea","read_v2","ANX"
"E2012","Hysterical deafness","read_v2","ANX"
"E2782","Psychogenic backache","read_v2","ANX"
"E294.","Adjustment reaction with disturbance emotion and conduct","read_v2","ANX"
"E2612","Psychogenic hiccough","read_v2","ANX"
"E2600","Psychogenic paralysis","read_v2","ANX"
"E292y","Adjustment reaction with mixed disturbance of emotion","read_v2","ANX"
"Eu45z","[X]Somatoform disorder, unspecified","read_v2","ANX"
"Eu44z","[X]Dissociative [conversion] disorder, unspecified","read_v2","ANX"
"Eu46z","[X]Neurotic disorder, unspecified","read_v2","ANX"
"E211z","Affective personality disorder NOS","read_v2","ANX"
"E29y0","Concentration camp syndrome","read_v2","ANX"
"E2780","Psychogenic pain unspecified","read_v2","ANX"
"E278z","Psychalgia NOS","read_v2","ANX"
"E2922","Early adult emancipation disorder","read_v2","ANX"
"E2653","Psychogenic dysuria","read_v2","ANX"
"Eu442","[X]Dissociative stupor","read_v2","ANX"
"E2601","Psychogenic torticollis","read_v2","ANX"
"E2924","Adjustment reaction with anxious mood","read_v2","ANX"
"Eu445","[X]Dissociative convulsions","read_v2","ANX"
"Eu451","[X]Undifferentiated somatoform disorder","read_v2","ANX"
"E2925","Culture shock","read_v2","ANX"
"Eu45y","[X]Other somatoform disorders","read_v2","ANX"
"E26y.","Other psychogenic malfunction","read_v2","ANX"
"Eu44y","[X]Other dissociative [conversion] disorders","read_v2","ANX"
"E2932","Adjustment reaction with destructiveness","read_v2","ANX"
"E2923","Specific academic or work inhibition","read_v2","ANX"
"E265.","Psychogenic genitourinary tract symptoms","read_v2","ANX"
"E264z","Psychogenic gastrointestinal tract symptom NOS","read_v2","ANX"
"E20y3","Psychasthenic neurosis","read_v2","ANX"
"E265z","Psychogenic genitourinary tract symptom NOS","read_v2","ANX"
"Eu447","[X]Mixed dissociative [conversion] disorders","read_v2","ANX"
"E267.","Psychogenic symptom of special sense organ","read_v2","ANX"
"E26yz","Other psychogenic malfunction NOS","read_v2","ANX"
"ZS7C7","Post-traumatic mutism","read_v2","ANX"
"E293z","Adjustment reaction with predominant disturbance conduct NOS","read_v2","ANX"
"Ub0qs","Anxiety management training","read_ctv3","ANX"
"XE1Y7","Panic disorder","read_ctv3","ANX"
"Ua1qS","Panic attack","read_ctv3","ANX"
"X00Sb","Mixed anxiety and depressive disorder","read_ctv3","ANX"
"XE1Y8","Other conversion disorder","read_ctv3","ANX"
"X76pp","Astasia-abasia","read_ctv3","ANX"
"X00Su","Globus hystericus","read_ctv3","ANX"
"X75xa","Dissociative amnesia","read_ctv3","ANX"
"XE1Y9","Hysteria NOS","read_ctv3","ANX"
"X00Si","Hysterical aphonia","read_ctv3","ANX"
"X00Sh","Hysterical ataxia","read_ctv3","ANX"
"XE1YA","Phobia","read_ctv3","ANX"
"X00SW","Social phobia","read_ctv3","ANX"
"X762G","Fear of flying","read_ctv3","ANX"
"Xa7lj","Cancer phobia","read_ctv3","ANX"
"X762T","Fear of death","read_ctv3","ANX"
"XE1YB","Phobic disorder NOS","read_ctv3","ANX"
"X00Sy","Weight fixation","read_ctv3","ANX"
"XE1YD","Neurasthenia","read_ctv3","ANX"
"XE0qk","Tired all the time","read_ctv3","ANX"
"XE1YE","Neurotic disorder NOS","read_ctv3","ANX"
"XE2b6","Personality disorder","read_ctv3","ANX"
"XE1YF","Paranoid personality disorder","read_ctv3","ANX"
"X00T5","Fanatic personality","read_ctv3","ANX"
"XE1Yc","Somatoform autonomic dysfunction - gastrointestinal tract","read_ctv3","ANX"
"X00St","Globus abdominalis","read_ctv3","ANX"
"XE1Yd","Psychogenic aerophagy","read_ctv3","ANX"
"XE1Ye","Psychogenic diarrhoea","read_ctv3","ANX"
"19F3.","Spurious diarrhoea","read_ctv3","ANX"
"XE1Yl","Tension headache","read_ctv3","ANX"
"X007T","Muscular headache","read_ctv3","ANX"
"XE1Ym","Acute stress reaction","read_ctv3","ANX"
"Xa18j","Combat fatigue","read_ctv3","ANX"
"XE1Yn","Acute stress reaction NOS","read_ctv3","ANX"
"X00Se","Examination fear","read_ctv3","ANX"
"X762H","Flying phobia","read_ctv3","ANX"
"X00Sd","Stage fright","read_ctv3","ANX"
"XE1Yo","Grief reaction","read_ctv3","ANX"
"XE1Yp","Specific academic or work inhibition","read_ctv3","ANX"
"XM1Q3","Specific work inhibition","read_ctv3","ANX"
"X00SV","Agoraphobia","read_ctv3","ANX"
"X00SX","Simple phobia","read_ctv3","ANX"
"X00SY","Needle phobia","read_ctv3","ANX"
"XE1Zj","[X]Other specified anxiety disorders","read_ctv3","ANX"
"XM0As","Stress and adjustment reaction","read_ctv3","ANX"
"X00Sf","Post-traumatic stress disorder","read_ctv3","ANX"
"Xa028","Dissociative stupor","read_ctv3","ANX"
"XE1Zk","Dissociative motor disorder","read_ctv3","ANX"
"XM1Q2","Psychogenic dysphonia","read_ctv3","ANX"
"XE1Zl","[X]Dissociative anaesthesia and sensory loss","read_ctv3","ANX"
"X00kW","Non-organic hearing loss","read_ctv3","ANX"
"XE1Zm","[X]Other dissociative [conversion] disorders","read_ctv3","ANX"
"Xa1a2","Dissociative confusion","read_ctv3","ANX"
"X00So","Undifferentiated somatoform disorder","read_ctv3","ANX"
"Xa0lG","Body dysmorphic disorder","read_ctv3","ANX"
"X00Ss","Somatoform autonomic dysfunction","read_ctv3","ANX"
"XE1Zn","[X]Persistent somatoform pain disorder","read_ctv3","ANX"
"XE1Zo","[X]Other somatoform disorders","read_ctv3","ANX"
"1682.","Fatigue","read_ctv3","ANX"
"X00Sv","Depersonalisation-derealisation syndrome","read_ctv3","ANX"
"XE1Zp","[X]Other specified neurotic disorders","read_ctv3","ANX"
"Xa1a9","Dhat syndrome","read_ctv3","ANX"
"H33..","Asthma","read_v2","AST"
"H333.","Acute exacerbation of asthma","read_v2","AST"
"H33z1","Asthma attack","read_v2","AST"
"H33z0","Severe asthma attack","read_v2","AST"
"H330.","Childhood asthma","read_v2","AST"
"663V1","Mild asthma","read_v2","AST"
"663V3","Severe asthma","read_v2","AST"
"663V0","Occasional asthma","read_v2","AST"
"H331.","Late onset asthma","read_v2","AST"
"H33z.","Asthma unspecified","read_v2","AST"
"H33zz","Exercise induced asthma","read_v2","AST"
"H3300","Hay fever with asthma","read_v2","AST"
"H3120","Chronic asthmatic bronchitis","read_v2","AST"
"173A.","Exercise induced asthma","read_v2","AST"
"H3301","Extrinsic asthma with asthma attack","read_v2","AST"
"663j.","Asthma - currently active","read_v2","AST"
"1O2..","Asthma confirmed","read_v2","AST"
"H33z2","Late-onset asthma","read_v2","AST"
"663V2","Moderate asthma","read_v2","AST"
"H3311","Intrinsic asthma with asthma attack","read_v2","AST"
"173c.","Occupational asthma","read_v2","AST"
"H332.","Mixed asthma","read_v2","AST"
"H3310","Intrinsic asthma without status asthmaticus","read_v2","AST"
"H35y7","Wood asthma","read_v2","AST"
"H334.","Brittle asthma","read_v2","AST"
"1780.","Aspirin induced asthma","read_v2","AST"
"H331z","Intrinsic asthma NOS","read_v2","AST"
"H330z","Extrinsic asthma NOS","read_v2","AST"
"H47y0","Detergent asthma","read_v2","AST"
"173d.","Work aggravated asthma","read_v2","AST"
"493","","read_v2","AST"
"493 A","","read_v2","AST"
"493 E","","read_v2","AST"
"493 B","","read_v2","AST"
"L4930","","read_v2","AST"
"493 N","","read_v2","AST"
"493 C","","read_v2","AST"
"493 H","","read_v2","AST"
"493 J","","read_v2","AST"
"493 G","","read_v2","AST"
"3052A","","read_v2","AST"
"691 T","","read_v2","AST"
"H35y6","Sequoiosis (red-cedar asthma)","read_v2","AST"
"X1025","Occupational asthma","read_ctv3","AST"
"XaKdk","Work aggravated asthma","read_ctv3","AST"
"XaJFG","Aspirin-induced asthma","read_ctv3","AST"
"XaIuG","Asthma confirmed","read_ctv3","AST"
"XaDvK","Asthma - currently active","read_ctv3","AST"
"XE0YQ","Allergic atopic asthma","read_ctv3","AST"
"X101x","Allergic asthma","read_ctv3","AST"
"X101t","Childhood asthma","read_ctv3","AST"
"X1020","Hay fever with asthma","read_ctv3","AST"
"XE0YR","Extrinsic asthma without status asthmaticus","read_ctv3","AST"
"XE0YS","Extrinsic asthma with status asthmaticus","read_ctv3","AST"
"X101y","Extrinsic asthma with asthma attack","read_ctv3","AST"
"XE0YT","Non-allergic asthma","read_ctv3","AST"
"X101u","Late onset asthma","read_ctv3","AST"
"XE0YU","Intrinsic asthma with status asthmaticus","read_ctv3","AST"
"X1022","Intrinsic asthma with asthma attack","read_ctv3","AST"
"Xa1hD","Acute exacerbation of asthma","read_ctv3","AST"
"Xa9zf","Acute asthma","read_ctv3","AST"
"Ua1AX","Brittle asthma","read_ctv3","AST"
"XE0YV","Status asthmaticus NOS","read_ctv3","AST"
"XE0YW","Asthma attack","read_ctv3","AST"
"XM0s2","Asthma attack NOS","read_ctv3","AST"
"XE0YX","Asthma NOS","read_ctv3","AST"
"X101z","Allergic asthma NEC","read_ctv3","AST"
"G5732","Paroxysmal atrial fibrillation","read_v2","ATR"
"G5730","Atrial fibrillation","read_v2","ATR"
"G5731","Atrial flutter","read_v2","ATR"
"G573.","Atrial fibrillation and flutter","read_v2","ATR"
"G573z","Atrial fibrillation and flutter NOS","read_v2","ATR"
"G5733","Non-rheumatic atrial fibrillation","read_v2","ATR"
"G5735","Persistent atrial fibrillation","read_v2","ATR"
"G5734","Permanent atrial fibrillation","read_v2","ATR"
"Xa2E8","Paroxysmal atrial fibrillation","read_ctv3","ATR"
"X202S","Non-rheumatic atrial fibrillation","read_ctv3","ATR"
"XaOft","Permanent atrial fibrillation","read_ctv3","ATR"
"XaOfa","Persistent atrial fibrillation","read_ctv3","ATR"
"6689.","Registered blind","read_v2","BLI"
"668B.","Poor visual acuity","read_v2","BLI"
"F49z.","Visual loss NOS","read_v2","BLI"
"F490.","Blindness, both eyes","read_v2","BLI"
"6688.","Registered partially sighted","read_v2","BLI"
"F4950","Blindness, one eye, unspecified","read_v2","BLI"
"F49..","Partial sight","read_v2","BLI"
"ZV410","[V]Problems with sight","read_v2","BLI"
"F492.","Low vision, both eyes","read_v2","BLI"
"SJ0..","Optic nerve and pathway injury","read_v2","BLI"
"F4041","Blind hypotensive eye","read_v2","BLI"
"668C.","Certificate of vision impairment","read_v2","BLI"
"F495.","Profound impairment, one eye","read_v2","BLI"
"F49z0","Charles Bonnet syndrome","read_v2","BLI"
"F493.","Visual loss, both eyes unqualified","read_v2","BLI"
"F4H7.","Visual cortex disorder","read_v2","BLI"
"F4960","Low vision, one eye, unspecified","read_v2","BLI"
"F4962","Lesser eye: severe VI, Better eye: near normal vision","read_v2","BLI"
"F49y.","Visual loss, one eye, unqualified","read_v2","BLI"
"F496.","Low vision, one eye","read_v2","BLI"
"2B6A.","O/E-R-eye perceives light only","read_v2","BLI"
"F4910","One eye blind, one eye low vision","read_v2","BLI"
"SJ0z.","Blindness - traumatic - NOS","read_v2","BLI"
"F4H73","Cortical blindness","read_v2","BLI"
"2B6B.","O/E - R-eye completely blind","read_v2","BLI"
"2B69.","O/E -R-eye counts fingers only","read_v2","BLI"
"2B7B.","O/E - L-eye completely blind","read_v2","BLI"
"2B7C.","O/E - L-eye sees hand movements","read_v2","BLI"
"F492z","Low vision, both eyes NOS","read_v2","BLI"
"F4H61","Visual pathway disorder due to vascular disorder","read_v2","BLI"
"2B79.","O/E -L-eye counts fingers only","read_v2","BLI"
"F4042","Blind hypertensive eye","read_v2","BLI"
"F496z","Low vision, one eye NOS","read_v2","BLI"
"F495A","Acquired blindness, one eye","read_v2","BLI"
"2B6W.","O/E - R-eye visual acuity (corrected) 4/60","read_v2","BLI"
"2B7A.","O/E-L-eye perceives light only","read_v2","BLI"
"2B7W.","O/E - L-eye visual acuity (corrected) 4/60","read_v2","BLI"
"F4920","Low vision, both eyes unspecified","read_v2","BLI"
"2B6R.","O/E - pinhole R-eye perceives light only","read_v2","BLI"
"F4909","Acquired blindness, both eyes","read_v2","BLI"
"F495z","Profound impairment one eye NOS","read_v2","BLI"
"2B6C.","O/E - R-eye sees hand movements","read_v2","BLI"
"2B6T.","O/E - R-eye visual acuity (corrected) 1/60","read_v2","BLI"
"2B6Q.","O/E - pinhole R-eye counts fingers only","read_v2","BLI"
"2B6V.","O/E - R-eye visual acuity (corrected) 2/60","read_v2","BLI"
"2B7T.","O/E - L-eye visual acuity (corrected) 1/60","read_v2","BLI"
"F490z","Blindness both eyes NOS","read_v2","BLI"
"2B6P.","O/E - pinhole R-eye sees hand movements","read_v2","BLI"
"2B7Q.","O/E - pinhole L-eye counts fingers only","read_v2","BLI"
"F4913","Better eye: severe VI, Lesser eye: near total VI","read_v2","BLI"
"2B7P.","O/E - pinhole L-eye sees hand movements","read_v2","BLI"
"2B6S.","O/E - pinhole R-eye completely blind","read_v2","BLI"
"2B7S.","O/E - pinhole L-eye completely blind","read_v2","BLI"
"2B7R.","O/E - pinhole L-eye perceives light only","read_v2","BLI"
"F491z","One eye blind, one eye low vision NOS","read_v2","BLI"
"F4900","Unspecified blindness both eyes","read_v2","BLI"
"F4901","Both eyes total visual impairment","read_v2","BLI"
"F491.","Better eye: low vision, Lesser eye: profound VI","read_v2","BLI"
"SJ02.","Optic pathway injury","read_v2","BLI"
